Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Ascot Vale,24/54 Epsom Rd,2,u,450000.0,VB,Nelson,12/11/2016,5.9,3032,2.0,1.0,1.0,0.0,,2010.0,Moonee Valley,-37.7731,144.9074,Western Metropolitan,6567.0
Ascot Vale,2 Farncomb St,3,h,801000.0,S,Jellis,12/11/2016,5.9,3032,3.0,1.0,2.0,431.0,,1950.0,Moonee Valley,-37.781,144.9207,Western Metropolitan,6567.0
Ascot Vale,26 Newsom St,3,h,1000000.0,PI,Brad,12/11/2016,5.9,3032,3.0,2.0,2.0,440.0,120.0,1955.0,Moonee Valley,-37.7746,144.9031,Western Metropolitan,6567.0
Ascot Vale,8 Pentland St,3,h,1435000.0,S,Nelson,12/11/2016,5.9,3032,3.0,2.0,2.0,532.0,147.0,1950.0,Moonee Valley,-37.7737,144.904,Western Metropolitan,6567.0
Ascot Vale,8/129 The Parade,1,u,390000.0,S,Alexkarbon,12/11/2016,5.9,3032,1.0,1.0,1.0,0.0,58.0,1972.0,Moonee Valley,-37.7723,144.9094,Western Metropolitan,6567.0
Ascot Vale,52 Monash St,3,h,1425000.0,PI,Jellis,13/08/2016,5.9,3032,3.0,2.0,2.0,495.0,139.0,1920.0,Moonee Valley,-37.7821,144.9055,Western Metropolitan,6567.0
Ascot Vale,58 Fenton St,4,h,1340000.0,S,Nelson,14/05/2016,5.9,3032,3.0,2.0,2.0,683.0,232.0,1978.0,Moonee Valley,-37.775,144.93200000000004,Western Metropolitan,6567.0
Ascot Vale,70 Munro St,3,h,955000.0,S,Brad,14/05/2016,5.9,3032,3.0,1.0,1.0,263.0,117.0,1910.0,Moonee Valley,-37.7753,144.9116,Western Metropolitan,6567.0
Ascot Vale,125 Epsom Rd,4,h,1100000.0,VB,Nelson,15/10/2016,5.9,3032,4.0,2.0,5.0,559.0,195.0,1920.0,Moonee Valley,-37.7791,144.9136,Western Metropolitan,6567.0
Ascot Vale,33 Hockey La,3,h,1255000.0,S,Nelson,15/10/2016,5.9,3032,3.0,2.0,2.0,308.0,,,Moonee Valley,-37.7759,144.9338,Western Metropolitan,6567.0
Ascot Vale,3/28 Ormond Rd,2,u,432000.0,S,Biggin,15/10/2016,5.9,3032,2.0,1.0,1.0,0.0,62.0,1978.0,Moonee Valley,-37.773,144.9303,Western Metropolitan,6567.0
Ascot Vale,7 Angler Pde,4,h,1640000.0,S,Raine,16/04/2016,5.9,3032,4.0,3.0,2.0,562.0,204.0,1890.0,Moonee Valley,-37.782,144.903,Western Metropolitan,6567.0
Ascot Vale,26 Ayr St,6,h,1430000.0,S,Nelson,16/04/2016,5.9,3032,4.0,2.0,1.0,461.0,286.0,1900.0,Moonee Valley,-37.78,144.9295,Western Metropolitan,6567.0
Ascot Vale,2/127 Epsom Rd,2,u,610000.0,SP,Brad,16/04/2016,5.9,3032,2.0,1.0,1.0,301.0,104.0,1995.0,Moonee Valley,-37.7791,144.914,Western Metropolitan,6567.0
Ascot Vale,57 The Parade,3,h,940000.0,S,Nelson,16/04/2016,5.9,3032,3.0,3.0,1.0,491.0,127.0,1950.0,Moonee Valley,-37.7727,144.9136,Western Metropolitan,6567.0
Ascot Vale,62 Mirams St,3,h,890000.0,SP,Brad,16/07/2016,5.9,3032,3.0,1.0,1.0,242.0,110.0,1920.0,Moonee Valley,-37.7765,144.9114,Western Metropolitan,6567.0
Ascot Vale,67 Hurtle St,3,h,1180000.0,SP,Brad,17/09/2016,5.9,3032,3.0,2.0,2.0,617.0,149.0,1930.0,Moonee Valley,-37.7742,144.906,Western Metropolitan,6567.0
Ascot Vale,95 Walter St,4,h,1480000.0,S,Raine,17/09/2016,5.9,3032,4.0,2.0,2.0,597.0,180.0,1939.0,Moonee Valley,-37.7757,144.9088,Western Metropolitan,6567.0
Ascot Vale,15 Bayview Tce,2,h,1150000.0,S,Brad,18/03/2017,5.9,3032,2.0,1.0,1.0,387.0,,,Moonee Valley,-37.7734,144.9191,Western Metropolitan,6567.0
Ascot Vale,57 Monash St,3,h,1350000.0,S,Brad,18/03/2017,5.9,3032,3.0,1.0,3.0,575.0,,,Moonee Valley,-37.7828,144.9049,Western Metropolitan,6567.0
Ascot Vale,54 South St,5,h,1905000.0,S,Nelson,18/03/2017,5.9,3032,5.0,2.0,2.0,521.0,,,Moonee Valley,-37.7778,144.9261,Western Metropolitan,6567.0
Ascot Vale,3/8 Walter St,2,t,865000.0,SP,Nelson,18/03/2017,5.9,3032,2.0,2.0,1.0,146.0,132.0,2015.0,Moonee Valley,-37.7713,144.9038,Western Metropolitan,6567.0
Ascot Vale,2/225 Maribyrnong Rd,2,t,705000.0,S,Brad,18/06/2016,5.9,3032,2.0,2.0,1.0,113.0,,1998.0,Moonee Valley,-37.7712,144.9088,Western Metropolitan,6567.0
Ascot Vale,12/9 Milton St,2,u,442000.0,S,Alexkarbon,18/06/2016,5.9,3032,2.0,1.0,1.0,0.0,62.0,1975.0,Moonee Valley,-37.7733,144.9219,Western Metropolitan,6567.0
Ascot Vale,107/8 Burrowes St,2,u,540000.0,S,Jellis,19/11/2016,5.9,3032,2.0,2.0,1.0,0.0,,,Moonee Valley,-37.7786,144.9141,Western Metropolitan,6567.0
Ascot Vale,21A Geddes St,3,h,1037500.0,S,Alexkarbon,19/11/2016,5.9,3032,3.0,1.0,2.0,506.0,110.0,1920.0,Moonee Valley,-37.7779,144.9133,Western Metropolitan,6567.0
Ascot Vale,1/20 Newsom St,3,t,1050000.0,S,Jellis,19/11/2016,5.9,3032,3.0,2.0,2.0,318.0,160.0,2013.0,Moonee Valley,-37.7744,144.9035,Western Metropolitan,6567.0
Ascot Vale,4/27 Roseberry St,2,u,440000.0,S,McDonald,19/11/2016,5.9,3032,2.0,1.0,1.0,0.0,65.0,1970.0,Moonee Valley,-37.7749,144.9137,Western Metropolitan,6567.0
Ascot Vale,126 The Parade,2,h,1010000.0,S,Brad,19/11/2016,5.9,3032,2.0,1.0,1.0,325.0,,,Moonee Valley,-37.7722,144.9117,Western Metropolitan,6567.0
Ascot Vale,43 Bloomfield Rd,4,h,1430000.0,S,Nelson,22/05/2016,5.9,3032,4.0,2.0,0.0,418.0,158.0,1900.0,Moonee Valley,-37.7766,144.9187,Western Metropolitan,6567.0
Ascot Vale,6/17 Geddes St,2,u,570000.0,VB,Nelson,22/05/2016,5.9,3032,2.0,1.0,1.0,0.0,,,Moonee Valley,-37.7779,144.9137,Western Metropolitan,6567.0
Ascot Vale,1/60 The Parade,2,u,690000.0,S,Brad,22/05/2016,5.9,3032,2.0,1.0,1.0,0.0,,,Moonee Valley,-37.7728,144.9169,Western Metropolitan,6567.0
Ascot Vale,45 Bloomfield Rd,3,h,1291000.0,S,Brad,23/04/2016,5.9,3032,3.0,1.0,2.0,414.0,,,Moonee Valley,-37.7766,144.9185,Western Metropolitan,6567.0
Ascot Vale,21 Middle St,3,h,1130000.0,S,Nelson,23/04/2016,5.9,3032,3.0,2.0,1.0,272.0,157.0,1900.0,Moonee Valley,-37.7774,144.928,Western Metropolitan,6567.0
Ascot Vale,78 Francis St,3,h,1135000.0,S,Brad,24/09/2016,5.9,3032,3.0,1.0,1.0,296.0,104.0,1910.0,Moonee Valley,-37.777,144.9176,Western Metropolitan,6567.0
Ascot Vale,25 Geddes St,4,h,950000.0,PI,Nelson,24/09/2016,5.9,3032,4.0,2.0,1.0,298.0,147.0,1920.0,Moonee Valley,-37.7778,144.9131,Western Metropolitan,6567.0
Ascot Vale,106/246 Union Rd,3,u,790000.0,PI,Weda,24/09/2016,5.9,3032,3.0,2.0,1.0,0.0,148.0,,Moonee Valley,-37.7722,144.9163,Western Metropolitan,6567.0
Ascot Vale,18/54 Epsom Rd,2,u,390000.0,PI,Jellis,25/02/2017,5.9,3032,2.0,1.0,1.0,1957.0,69.0,2012.0,Moonee Valley,-37.7731,144.9074,Western Metropolitan,6567.0
Ascot Vale,15 Mirams St,4,h,1345000.0,S,Jellis,25/02/2017,5.9,3032,4.0,1.0,1.0,552.0,155.0,1920.0,Moonee Valley,-37.7769,144.9138,Western Metropolitan,6567.0
Ascot Vale,44 Walter St,3,h,1381500.0,S,Barry,25/02/2017,5.9,3032,3.0,2.0,2.0,416.0,168.0,1900.0,Moonee Valley,-37.7727,144.9055,Western Metropolitan,6567.0
Ascot Vale,25 Dalgety Dr,3,h,940000.0,S,Jellis,26/07/2016,5.9,3032,3.0,2.0,2.0,285.0,172.0,2011.0,Moonee Valley,-37.7778,144.9061,Western Metropolitan,6567.0
Ascot Vale,7 Dalgety Dr,3,h,995000.0,S,Nelson,26/07/2016,5.9,3032,3.0,2.0,1.0,314.0,177.0,2010.0,Moonee Valley,-37.7778,144.9042,Western Metropolitan,6567.0
Ascot Vale,37 Epsom Rd,3,h,1050000.0,SP,Frank,26/07/2016,5.9,3032,3.0,1.0,3.0,536.0,,,Moonee Valley,-37.7728,144.9076,Western Metropolitan,6567.0
Ascot Vale,6 Waller Ct,3,h,786000.0,S,Brad,26/07/2016,5.9,3032,3.0,2.0,1.0,576.0,120.0,1940.0,Moonee Valley,-37.7816,144.9217,Western Metropolitan,6567.0
Ascot Vale,17 Ascot St,2,h,705000.0,PI,Nelson,27/06/2016,5.9,3032,2.0,1.0,3.0,252.0,108.0,1910.0,Moonee Valley,-37.7825,144.9206,Western Metropolitan,6567.0
Ascot Vale,73 Kent St,2,h,760000.0,PI,Nelson,27/06/2016,5.9,3032,2.0,1.0,1.0,124.0,77.0,1900.0,Moonee Valley,-37.7807,144.9285,Western Metropolitan,6567.0
Ascot Vale,9/129 The Parade,3,u,487500.0,S,Hodges,27/06/2016,5.9,3032,3.0,1.0,3.0,0.0,,1972.0,Moonee Valley,-37.7723,144.9094,Western Metropolitan,6567.0
Ascot Vale,1 East St,3,t,1000000.0,S,Nelson,27/11/2016,5.9,3032,3.0,2.0,2.0,200.0,144.0,2003.0,Moonee Valley,-37.7766,144.9277,Western Metropolitan,6567.0
Ascot Vale,32 Geddes St,4,h,1110000.0,PI,Nelson,27/11/2016,5.9,3032,4.0,2.0,1.0,349.0,,1920.0,Moonee Valley,-37.7775,144.91299999999995,Western Metropolitan,6567.0
Ascot Vale,30 Mirams St,4,h,1300000.0,PI,Jellis,27/11/2016,5.9,3032,4.0,1.0,4.0,664.0,,,Moonee Valley,-37.7765,144.9132,Western Metropolitan,6567.0
Ascot Vale,43 Mirams St,3,h,1060000.0,PI,Nelson,27/11/2016,5.9,3032,3.0,1.0,1.0,555.0,,,Moonee Valley,-37.7767,144.9125,Western Metropolitan,6567.0
Ascot Vale,45 Mirams St,3,h,1410000.0,PI,Nelson,27/11/2016,5.9,3032,3.0,2.0,2.0,459.0,,,Moonee Valley,-37.7767,144.9124,Western Metropolitan,6567.0
Ascot Vale,1 Bloomfield Rd,3,h,1305000.0,S,Barry,28/05/2016,5.9,3032,2.0,1.0,1.0,278.0,166.0,1900.0,Moonee Valley,-37.7768,144.9223,Western Metropolitan,6567.0
Ascot Vale,26 Milton St,3,h,932500.0,S,Nelson,28/05/2016,5.9,3032,3.0,2.0,1.0,254.0,,,Moonee Valley,-37.7738,144.9215,Western Metropolitan,6567.0
Ascot Vale,10 Ayr St,3,h,965000.0,S,Alexkarbon,28/08/2016,5.9,3032,3.0,1.0,0.0,216.0,,,Moonee Valley,-37.7792,144.9297,Western Metropolitan,6567.0
Ascot Vale,58 Bloomfield Rd,3,h,1215000.0,S,Stockdale,28/08/2016,5.9,3032,3.0,1.0,1.0,452.0,175.0,1960.0,Moonee Valley,-37.7762,144.9174,Western Metropolitan,6567.0
Ascot Vale,1/91 Epsom Rd,2,u,545000.0,S,Nelson,28/08/2016,5.9,3032,2.0,1.0,2.0,194.0,71.0,1900.0,Moonee Valley,-37.7772,144.9118,Western Metropolitan,6567.0
Ascot Vale,5 Doncaster St,4,h,1705000.0,S,Jellis,30/07/2016,5.9,3032,4.0,2.0,4.0,598.0,273.0,2012.0,Moonee Valley,-37.7774,144.9104,Western Metropolitan,6567.0
Ascot Vale,6 McCully St,3,h,970000.0,S,Nelson,30/07/2016,5.9,3032,2.0,1.0,1.0,194.0,,,Moonee Valley,-37.7756,144.921,Western Metropolitan,6567.0
Ascot Vale,75 Munro St,2,h,925000.0,S,Barry,30/07/2016,5.9,3032,2.0,1.0,1.0,407.0,,,Moonee Valley,-37.7756,144.9105,Western Metropolitan,6567.0
Carlton North,527 Nicholson St,3,h,1330000.0,VB,Nelson,3/09/2016,3.2,3054,3.0,1.0,1.0,314.0,,1900.0,Yarra,-37.7871,144.9766,Northern Metropolitan,3106.0
Carlton North,593 Canning St,3,h,1540000.0,S,Nelson,4/03/2017,3.2,3054,3.0,1.0,0.0,169.0,,,Yarra,-37.7821,144.9753,Northern Metropolitan,3106.0
Carlton North,112 Newry St,4,h,1425000.0,S,Nelson,4/03/2017,3.2,3054,4.0,3.0,0.0,122.0,130.0,1890.0,Yarra,-37.7893,144.9696,Northern Metropolitan,3106.0
Carlton North,122 Richardson St,2,h,1725000.0,S,hockingstuart,4/03/2017,3.2,3054,2.0,1.0,1.0,210.0,,,Yarra,-37.7844,144.972,Northern Metropolitan,3106.0
Carlton North,632 Rathdowne St,3,h,1280000.0,VB,Nelson,6/08/2016,3.2,3054,3.0,1.0,0.0,203.0,,,Yarra,-37.7824,144.9733,Northern Metropolitan,3106.0
Carlton North,989 Drummond St,3,h,2950000.0,SP,Chambers,7/05/2016,3.2,3054,3.0,1.0,2.0,499.0,164.0,1910.0,Yarra,-37.7811,144.9715,Northern Metropolitan,3106.0
Carlton North,700 Rathdowne St,4,h,2175000.0,S,Woodards,7/05/2016,3.2,3054,3.0,1.0,0.0,418.0,163.0,1920.0,Yarra,-37.7808,144.9736,Northern Metropolitan,3106.0
Carlton North,2/872 Drummond St,2,t,765000.0,S,Nelson,8/10/2016,3.2,3054,2.0,1.0,1.0,1031.0,,1970.0,Yarra,-37.784,144.9715,Northern Metropolitan,3106.0
Carlton North,1 Fletcher La,2,h,800000.0,PI,Nelson,10/12/2016,3.2,3054,2.0,1.0,1.0,73.0,104.0,2009.0,Yarra,-37.7852,144.9719,Northern Metropolitan,3106.0
Carlton North,173 MacPherson St,2,h,1301000.0,S,Nelson,10/12/2016,3.2,3054,2.0,1.0,0.0,133.0,,,Yarra,-37.786,144.9704,Northern Metropolitan,3106.0
Carlton North,967 Drummond St,4,h,2718000.0,S,Ray,11/03/2017,3.2,3054,4.0,2.0,0.0,538.0,142.0,2015.0,Yarra,-37.7816,144.9714,Northern Metropolitan,3106.0
Carlton North,9/823 Rathdowne St,1,u,468000.0,S,Nelson,11/03/2017,3.2,3054,1.0,1.0,1.0,861.0,,1970.0,Yarra,-37.7851,144.9723,Northern Metropolitan,3106.0
Carlton North,392 Station St,2,h,2400000.0,S,Kelly,12/11/2016,3.2,3054,1.0,2.0,0.0,413.0,172.0,1900.0,Yarra,-37.7875,144.9759,Northern Metropolitan,3106.0
Carlton North,122 Amess St,3,h,2210000.0,S,Nelson,14/05/2016,3.2,3054,2.0,2.0,1.0,190.0,,,Yarra,-37.7847,144.9741,Northern Metropolitan,3106.0
Carlton North,40 Ogrady St,2,h,1330000.0,S,Nelson,15/10/2016,3.2,3054,2.0,1.0,0.0,116.0,,,Yarra,-37.7904,144.9726,Northern Metropolitan,3106.0
Carlton North,1018 Drummond St,4,h,2520000.0,S,Nelson,16/04/2016,3.2,3054,4.0,2.0,2.0,504.0,168.0,1890.0,Yarra,-37.7805,144.9721,Northern Metropolitan,3106.0
Carlton North,354 Station St,3,h,1214000.0,S,Nelson,16/04/2016,3.2,3054,3.0,3.0,1.0,144.0,,,Yarra,-37.7885,144.9757,Northern Metropolitan,3106.0
Carlton North,462 Canning St,3,h,1955000.0,S,Nelson,16/07/2016,3.2,3054,3.0,2.0,1.0,163.0,135.0,,Yarra,-37.786,144.9751,Northern Metropolitan,3106.0
Carlton North,26/174 Lee St,1,u,390000.0,S,Kelly,16/07/2016,3.2,3054,1.0,1.0,1.0,0.0,,1970.0,Yarra,-37.7907,144.9691,Northern Metropolitan,3106.0
Carlton North,119 Curtain St,1,h,885000.0,S,Nelson,18/03/2017,3.2,3054,1.0,1.0,0.0,93.0,,,Yarra,-37.7888,144.9698,Northern Metropolitan,3106.0
Carlton North,75 Fenwick St,3,h,2050000.0,S,Nelson,18/03/2017,3.2,3054,3.0,2.0,0.0,84.0,148.0,1970.0,Yarra,-37.7879,144.9736,Northern Metropolitan,3106.0
Carlton North,16 Fenwick St,2,h,910000.0,S,Nelson,18/06/2016,3.2,3054,3.0,1.0,1.0,100.0,,,Yarra,-37.7879,144.9759,Northern Metropolitan,3106.0
Carlton North,658 Lygon St,2,h,880000.0,S,Nelson,18/06/2016,3.2,3054,2.0,1.0,0.0,142.0,,,Yarra,-37.7911,144.9688,Northern Metropolitan,3106.0
Carlton North,292 Amess St,4,h,1950000.0,S,Nelson,22/05/2016,3.2,3054,4.0,2.0,2.0,207.0,162.0,1900.0,Yarra,-37.7804,144.9748,Northern Metropolitan,3106.0
Carlton North,167 Richardson St,3,h,1280000.0,S,Nelson,22/08/2016,3.2,3054,3.0,1.0,1.0,131.0,,,Yarra,-37.7846,144.9704,Northern Metropolitan,3106.0
Carlton North,14/1102 Lygon St,1,u,437000.0,S,Nelson,24/09/2016,3.2,3054,1.0,1.0,1.0,0.0,56.0,1970.0,Yarra,-37.7798,144.9707,Northern Metropolitan,3106.0
Carlton North,984 Lygon St,2,h,1150000.0,VB,Nelson,24/09/2016,3.2,3054,2.0,1.0,2.0,373.0,,,Yarra,-37.7828,144.9702,Northern Metropolitan,3106.0
Carlton North,4 Mary St,2,u,520000.0,VB,Nelson,24/09/2016,3.2,3054,2.0,1.0,1.0,0.0,86.0,1940.0,Yarra,-37.7813,144.9773,Northern Metropolitan,3106.0
Carlton North,24/635 Drummond St,2,u,570000.0,S,hockingstuart,27/06/2016,3.2,3054,2.0,1.0,1.0,0.0,76.0,1975.0,Yarra,-37.7902,144.97,Northern Metropolitan,3106.0
Flemington,96 Bryant St,2,h,865500.0,S,Nelson,3/09/2016,4.4,3031,2.0,1.0,1.0,168.0,,,Moonee Valley,-37.7835,144.9339,Northern Metropolitan,3593.0
Flemington,3/39 Dover St,2,u,365000.0,PI,Rendina,3/12/2016,4.4,3031,2.0,1.0,1.0,0.0,60.0,1970.0,Moonee Valley,-37.7833,144.9255,Northern Metropolitan,3593.0
Flemington,15/17 Ascot Vale Rd,1,u,380000.0,SP,Biggin,4/03/2017,4.4,3031,1.0,1.0,1.0,2077.0,,,Moonee Valley,-37.7852,144.9216,Northern Metropolitan,3593.0
Flemington,8/39 Dover St,2,u,425000.0,SP,Hodges,4/03/2017,4.4,3031,2.0,1.0,1.0,0.0,63.0,1970.0,Moonee Valley,-37.7833,144.9255,Northern Metropolitan,3593.0
Flemington,1/142 Shields St,1,u,280000.0,VB,Nelson,4/03/2017,4.4,3031,1.0,1.0,1.0,0.0,,1970.0,Moonee Valley,-37.7839,144.9347,Northern Metropolitan,3593.0
Flemington,10 Crown St,3,h,870000.0,S,Brad,8/10/2016,4.4,3031,3.0,2.0,0.0,167.0,,,Moonee Valley,-37.7869,144.9228,Northern Metropolitan,3593.0
Flemington,1/15 Dartford St,2,u,391000.0,S,Nelson,8/10/2016,4.4,3031,2.0,1.0,1.0,0.0,59.0,1970.0,Moonee Valley,-37.7825,144.9239,Northern Metropolitan,3593.0
Flemington,1/116 Edinburgh St,2,h,715000.0,SP,Nelson,8/10/2016,4.4,3031,2.0,1.0,1.0,0.0,,1980.0,Moonee Valley,-37.7852,144.9223,Northern Metropolitan,3593.0
Flemington,11 Finsbury St,3,h,1130000.0,S,Nelson,8/10/2016,4.4,3031,3.0,1.0,0.0,294.0,140.0,1900.0,Moonee Valley,-37.7856,144.9292,Northern Metropolitan,3593.0
Flemington,43 Finsbury St,3,h,1110000.0,PI,Nelson,8/10/2016,4.4,3031,3.0,1.0,1.0,272.0,131.0,1885.0,Moonee Valley,-37.7857,144.931,Northern Metropolitan,3593.0
Flemington,40 Coronet St,2,h,950000.0,SP,Nelson,10/09/2016,4.4,3031,2.0,1.0,1.0,193.0,,,Moonee Valley,-37.7861,144.9238,Northern Metropolitan,3593.0
Flemington,107 Shields St,2,h,918000.0,S,Nelson,10/09/2016,4.4,3031,2.0,1.0,0.0,136.0,78.0,1900.0,Moonee Valley,-37.7839,144.9343,Northern Metropolitan,3593.0
Flemington,59 Victoria St,2,h,730000.0,SP,Nelson,10/09/2016,4.4,3031,2.0,1.0,1.0,140.0,98.0,1890.0,Moonee Valley,-37.7867,144.9342,Northern Metropolitan,3593.0
Flemington,6/47 Railway Pl W,2,u,360000.0,PI,Nelson,10/12/2016,4.4,3031,2.0,1.0,1.0,0.0,,,Moonee Valley,-37.7826,144.9273,Northern Metropolitan,3593.0
Flemington,21 Wisewould St,2,h,855000.0,SP,Nelson,10/12/2016,4.4,3031,2.0,1.0,0.0,225.0,85.0,1930.0,Moonee Valley,-37.7849,144.9197,Northern Metropolitan,3593.0
Flemington,4 Illawarra Rd,2,h,860000.0,S,Nelson,12/11/2016,4.4,3031,2.0,1.0,0.0,202.0,,,Moonee Valley,-37.7849,144.9257,Northern Metropolitan,3593.0
Flemington,61 Canterbury St,3,h,1012000.0,S,Australian,13/08/2016,4.4,3031,3.0,1.0,1.0,212.0,102.0,1930.0,Moonee Valley,-37.7818,144.9247,Northern Metropolitan,3593.0
Flemington,15 Clarence St,3,h,885000.0,S,Nelson,13/08/2016,4.4,3031,3.0,1.0,0.0,162.0,,,Moonee Valley,-37.7869,144.9253,Northern Metropolitan,3593.0
Flemington,90 Edinburgh St,3,h,1315000.0,S,Nelson,13/08/2016,4.4,3031,2.0,1.0,1.0,313.0,20.0,,Moonee Valley,-37.7853,144.9235,Northern Metropolitan,3593.0
